"","X","id","time","MAX_DEP"
"306",8706,35,2015-09-27 08:35:00,2.89037175789616
"307",8707,35,2015-09-27 08:42:00,2.89037175789616
"308",8708,35,2015-09-27 08:50:00,2.89037175789616
"309",8709,35,2015-09-27 09:18:00,2.89037175789616
"310",8710,35,2015-09-27 09:25:00,2.89037175789616
"311",8711,35,2015-09-27 09:32:00,2.89037175789616
"312",8712,35,2015-09-27 10:45:00,2.89037175789616
"313",8713,35,2015-09-27 10:52:00,2.89037175789616
"314",8714,35,2015-09-27 10:58:00,2.77258872223978
"315",8715,35,2015-09-27 11:37:00,2.484906649788
"316",8716,35,2015-09-27 11:43:00,2.77258872223978
"317",8717,35,2015-09-27 11:49:00,2.77258872223978
"318",8718,35,2015-09-27 11:55:00,2.77258872223978
"319",8719,35,2015-09-27 12:01:00,2.63905732961526
"320",8720,35,2015-09-27 12:07:00,2.77258872223978
"321",8721,35,2015-09-27 13:14:00,2.77258872223978
"322",8722,35,2015-09-27 13:21:00,2.77258872223978
"323",8723,35,2015-09-27 13:28:00,2.77258872223978
"324",8724,35,2015-09-27 13:34:00,2.77258872223978
"325",8725,35,2015-09-27 13:41:00,2.63905732961526
"326",8726,35,2015-09-27 13:48:00,2.63905732961526
"327",8727,35,2015-09-27 14:14:00,2.63905732961526
"328",8728,35,2015-09-27 14:20:00,2.63905732961526
"329",8729,35,2015-09-27 14:27:00,2.63905732961526
"330",8730,35,2015-09-27 14:32:00,2.63905732961526
"331",8731,35,2015-09-27 14:38:00,2.63905732961526
"332",8732,35,2015-09-27 14:44:00,2.63905732961526
"333",8733,35,2015-09-27 15:07:00,2.63905732961526
"334",8734,35,2015-09-27 15:13:00,2.63905732961526
"335",8735,35,2015-09-27 15:19:00,2.63905732961526
"336",8736,35,2015-09-27 16:01:00,2.63905732961526
"337",8737,35,2015-09-27 16:06:00,2.63905732961526
"338",8738,35,2015-09-27 16:13:00,2.63905732961526
"339",8739,35,2015-09-27 16:18:00,2.63905732961526
"340",8740,35,2015-09-27 16:23:00,2.63905732961526
"341",8741,35,2015-09-27 16:29:00,2.63905732961526
"342",8742,35,2015-09-27 16:35:00,2.63905732961526
"343",8743,35,2015-09-27 16:40:00,2.63905732961526
"344",8744,35,2015-09-27 16:47:00,2.484906649788
"345",8745,35,2015-09-27 16:52:00,2.484906649788
"346",8746,35,2015-09-27 16:58:00,2.484906649788
"347",8747,35,2015-09-27 17:05:00,2.484906649788
"348",8748,35,2015-09-27 17:11:00,2.484906649788
"349",8749,35,2015-09-27 17:17:00,2.484906649788
"350",8750,35,2015-09-27 17:21:00,2.484906649788
"351",8751,35,2015-09-27 17:40:00,2.484906649788
"352",8752,35,2015-09-27 17:45:00,2.484906649788
"353",8753,35,2015-09-27 17:49:00,2.484906649788
"354",8760,35,2015-09-27 21:19:00,1.79175946922805
"355",8761,35,2015-09-27 21:24:00,1.79175946922805
"356",8762,35,2015-09-27 21:28:00,1.79175946922805
"357",8763,35,2015-09-27 21:49:00,1.79175946922805
"358",8764,35,2015-09-27 21:54:00,1.79175946922805
"359",8765,35,2015-09-27 22:00:00,1.79175946922805
"360",8766,35,2015-09-27 22:34:00,2.07944154167984
"361",8767,35,2015-09-27 22:38:00,2.07944154167984
"362",8768,35,2015-09-27 22:43:00,2.07944154167984
"363",8769,35,2015-09-27 23:19:00,2.07944154167984
"364",8770,35,2015-09-27 23:24:00,2.07944154167984
"365",8771,35,2015-09-27 23:30:00,2.30258509299405
"366",8772,35,2015-09-27 23:36:00,2.30258509299405
"367",8773,35,2015-09-27 23:41:00,2.30258509299405
"368",8774,35,2015-09-27 23:46:00,2.07944154167984
"369",8775,35,2015-09-27 23:52:00,2.30258509299405
"370",8776,35,2015-09-27 23:56:00,2.30258509299405
"371",8777,35,2015-09-28 00:02:00,2.30258509299405
"372",8778,35,2015-09-28 00:08:00,2.30258509299405
"373",8779,35,2015-09-28 00:14:00,2.30258509299405
"374",8780,35,2015-09-28 00:20:00,2.30258509299405
"375",8781,35,2015-09-28 00:56:00,2.30258509299405
"376",8782,35,2015-09-28 01:01:00,2.30258509299405
"377",8783,35,2015-09-28 01:06:00,2.30258509299405
"378",8784,35,2015-09-28 01:23:00,2.30258509299405
"379",8785,35,2015-09-28 01:28:00,1.38629436111989
"380",8786,35,2015-09-28 01:32:00,2.30258509299405
"381",8787,35,2015-09-28 01:36:00,2.30258509299405
"382",8788,35,2015-09-28 01:41:00,2.484906649788
"383",8789,35,2015-09-28 01:45:00,2.07944154167984
"384",8790,35,2015-09-28 03:50:00,2.63905732961526
"385",8791,35,2015-09-28 03:55:00,2.63905732961526
"386",8792,35,2015-09-28 03:59:00,2.63905732961526
"387",8793,35,2015-09-28 05:11:00,2.63905732961526
"388",8794,35,2015-09-28 05:15:00,2.63905732961526
"389",8795,35,2015-09-28 05:22:00,2.63905732961526
"390",8796,35,2015-09-28 07:39:00,2.63905732961526
"391",8797,35,2015-09-28 07:45:00,2.63905732961526
"392",8798,35,2015-09-28 07:52:00,2.63905732961526
"393",8799,35,2015-09-28 08:29:00,2.63905732961526
"394",8800,35,2015-09-28 08:34:00,2.63905732961526
"395",8801,35,2015-09-28 08:41:00,2.63905732961526
"396",8802,35,2015-09-28 09:39:00,2.63905732961526
"397",8803,35,2015-09-28 09:45:00,2.63905732961526
"398",8804,35,2015-09-28 09:50:00,2.77258872223978
"399",8805,35,2015-09-28 12:05:00,1.79175946922805
"400",8806,35,2015-09-28 13:21:00,2.77258872223978
"401",8807,35,2015-09-28 13:26:00,2.77258872223978
"402",8808,35,2015-09-28 13:32:00,2.63905732961526
"403",8809,35,2015-09-28 14:33:00,2.77258872223978
"404",8810,35,2015-09-28 14:41:00,2.77258872223978
"405",8811,35,2015-09-28 14:46:00,2.77258872223978
"406",8812,35,2015-09-28 15:11:00,2.77258872223978
"407",8813,35,2015-09-28 15:17:00,2.77258872223978
"408",8814,35,2015-09-28 15:22:00,2.77258872223978
"409",8815,35,2015-09-28 16:29:00,2.77258872223978
"410",8816,35,2015-09-28 16:35:00,2.77258872223978
"411",8817,35,2015-09-28 16:40:00,2.77258872223978
"412",8818,35,2015-09-28 16:45:00,2.77258872223978
"413",8819,35,2015-09-28 16:51:00,2.77258872223978
"414",8820,35,2015-09-28 16:57:00,2.77258872223978
"415",8821,35,2015-09-28 19:47:00,2.99573227355399
"416",8822,35,2015-09-28 19:53:00,2.99573227355399
"417",8823,35,2015-09-28 19:59:00,2.99573227355399
"418",8824,35,2015-09-28 20:36:00,2.89037175789616
"419",8825,35,2015-09-28 20:40:00,2.89037175789616
"420",8826,35,2015-09-28 20:45:00,2.89037175789616
"421",8827,35,2015-09-28 21:46:00,2.99573227355399
"422",8828,35,2015-09-28 21:52:00,2.99573227355399
"423",8829,35,2015-09-28 21:58:00,2.99573227355399
"424",8830,35,2015-09-29 01:00:00,3.09104245335832
"425",8831,35,2015-09-29 01:07:00,2.99573227355399
"426",8832,35,2015-09-29 01:11:00,2.99573227355399
"427",8833,35,2015-09-29 05:07:00,3.09104245335832
"428",8834,35,2015-09-29 05:12:00,3.09104245335832
"429",8835,35,2015-09-29 05:17:00,3.09104245335832
"430",8836,35,2015-09-29 05:20:00,3.09104245335832
"431",8837,35,2015-09-29 05:25:00,1.38629436111989
"432",8839,35,2015-09-29 06:54:00,3.09104245335832
"433",8841,35,2015-09-29 12:18:00,1.38629436111989
"434",8842,35,2015-09-29 12:22:00,1.38629436111989
"435",8843,35,2015-09-29 15:39:00,3.09104245335832
"436",8844,35,2015-09-29 15:45:00,3.09104245335832
"437",8845,35,2015-09-29 15:52:00,2.99573227355399
"438",8846,35,2015-09-29 17:32:00,3.09104245335832
"439",8847,35,2015-09-29 17:38:00,3.09104245335832
"440",8848,35,2015-09-29 17:46:00,3.09104245335832
"441",8849,35,2015-09-29 18:31:00,3.09104245335832
"442",8850,35,2015-09-29 18:37:00,3.09104245335832
"443",8851,35,2015-09-29 18:43:00,3.09104245335832
"444",8852,35,2015-09-30 01:50:00,3.09104245335832
"445",8853,35,2015-09-30 01:55:00,3.09104245335832
"446",8854,35,2015-09-30 02:02:00,3.09104245335832
"447",24331,38,2015-09-10 23:22:00,1.38629436111989
"448",24332,38,2015-09-10 23:25:00,1.38629436111989
"449",24342,38,2015-09-10 23:57:00,1.38629436111989
"450",24343,38,2015-09-10 23:58:00,1.38629436111989
"451",24344,38,2015-09-10 23:59:00,1.38629436111989
"452",24345,38,2015-09-11 00:29:00,1.38629436111989
"453",24348,38,2015-09-11 00:40:00,1.79175946922805
"454",24349,38,2015-09-11 00:45:00,2.07944154167984
"455",24350,38,2015-09-11 00:51:00,2.07944154167984
"456",24351,38,2015-09-11 00:57:00,2.07944154167984
"457",24352,38,2015-09-11 01:01:00,2.07944154167984
"458",24353,38,2015-09-11 01:06:00,2.07944154167984
"459",24354,38,2015-09-11 01:20:00,1.38629436111989
"460",24355,38,2015-09-11 01:25:00,1.38629436111989
"461",24356,38,2015-09-11 01:31:00,1.38629436111989
"462",24357,38,2015-09-11 01:36:00,1.38629436111989
"463",24358,38,2015-09-11 01:42:00,1.38629436111989
"464",24359,38,2015-09-11 01:48:00,2.07944154167984
"465",24360,38,2015-09-11 02:47:00,1.79175946922805
"466",24361,38,2015-09-11 02:53:00,1.38629436111989
"467",24362,38,2015-09-11 02:58:00,2.07944154167984
"468",24363,38,2015-09-11 04:19:00,2.07944154167984
"469",24364,38,2015-09-11 04:24:00,2.07944154167984
"470",24365,38,2015-09-11 04:30:00,2.07944154167984
"471",24366,38,2015-09-11 04:31:00,1.79175946922805
"472",24367,38,2015-09-11 04:35:00,1.79175946922805
"473",24368,38,2015-09-11 04:40:00,1.79175946922805
"474",24369,38,2015-09-11 05:03:00,1.38629436111989
"475",24370,38,2015-09-11 05:09:00,2.07944154167984
"476",24371,38,2015-09-11 05:15:00,1.79175946922805
"477",24372,38,2015-09-11 06:34:00,1.79175946922805
"478",24373,38,2015-09-11 06:39:00,1.79175946922805
"479",24374,38,2015-09-11 06:44:00,1.38629436111989
"480",24375,38,2015-09-11 07:18:00,1.38629436111989
"481",24376,38,2015-09-11 07:23:00,1.79175946922805
